capframe,delivered,crc_ok,seq,words,seq_expected
483,1,1,54061,191,54060
484,1,1,54062,191,54061
485,1,1,54063,191,54062
486,1,1,54064,191,54063
487,1,1,54065,191,54064
488,1,1,54066,191,54065
489,1,1,54067,191,54066
490,1,1,54068,191,54067
491,1,1,54069,191,54068
492,1,1,54070,191,54069
493,1,1,54071,191,54070
494,1,1,54072,191,54071
495,1,1,54073,191,54072
496,1,1,54074,191,54073
497,1,1,54075,191,54074
498,1,1,54076,191,54075
499,1,1,54077,191,54076
500,1,1,54078,191,54077
501,1,1,54079,191,54078
502,1,1,54080,191,54079
503,1,1,54081,191,54080
504,1,1,54082,191,54081
505,1,1,54083,191,54082
506,1,1,54084,191,54083
507,1,1,54085,191,54084
508,1,1,54086,191,54085
509,1,1,54087,191,54086
510,1,1,54088,191,54087
511,1,1,54089,191,54088
512,1,1,54090,191,54089
513,1,1,54091,191,54090
514,1,1,54092,191,54091
515,1,1,54093,191,54092
516,1,1,54094,191,54093
517,1,1,54095,191,54094
518,1,1,54096,191,54095
519,1,1,54097,191,54096
520,1,1,54098,191,54097
521,1,1,54099,191,54098
522,1,1,54100,191,54099
523,1,1,54101,191,54100
524,1,1,54102,191,54101
525,1,1,54103,191,54102
526,1,1,54104,191,54103
527,1,1,54105,191,54104
528,1,1,54106,191,54105
529,1,1,54107,191,54106
530,1,1,54108,191,54107
531,1,1,54109,191,54108
532,1,1,54110,191,54109
533,1,1,54111,191,54110
534,1,1,54112,191,54111
535,1,1,54113,191,54112
536,1,1,54114,191,54113
537,1,1,54115,191,54114
538,1,1,54116,191,54115
539,0,0,-1,0,54116
540,1,1,54118,191,54117
541,1,1,54119,191,54118
542,1,1,54120,191,54119
543,1,1,54121,191,54120
544,1,1,54122,191,54121
545,1,1,54123,191,54122
546,1,1,54124,191,54123
547,1,1,54125,191,54124
548,1,1,54126,191,54125
549,1,1,54127,191,54126
550,1,1,54128,191,54127
551,1,1,54129,191,54128
552,1,1,54130,191,54129
553,1,1,54131,191,54130
554,1,1,54132,191,54131
555,1,1,54133,191,54132
556,1,1,54134,191,54133
557,1,1,54135,191,54134
558,1,1,54136,191,54135
