273 1299 51 13086 326877 326881 444633 452090 452096 10644
274 1299 51 13088 327812 327817 445887 453398 453404 10646
275 1299 51 13090 328748 328752 447130 454705 454711 10648
276 1299 51 13092 329684 329688 448389 456013 456019 10650
277 1299 51 13094 330619 330622 449696 457320 457326 10652
278 1299 51 13096 331554 331558 451003 458628 458634 10654
279 1299 51 13098 332487 332491 452310 459935 459941 10656
280 1299 51 13100 333420 333425 453618 461243 461249 10658
281 1299 51 13102 334356 334360 454925 462550 462556 10660
282 1299 51 13104 335291 335296 456172 463857 463863 10662
283 1299 51 13106 336227 336231 457472 465164 465170 10664
284 1299 51 13108 337162 337166 458780 466472 466478 10666
285 1298 102 13110 338097 338100 459997 467779 467785 10668
286 1300 0 13114 339030 339034 461214 469085 469091 10672
287 1297 102 13114 339964 339969 462522 470393 470399 10672
288 1299 0 13118 340900 340904 463828 471699 471705 10676
289 1298 102 13118 341833 341838 465135 473006 473012 10676
290 1300 0 13122 342769 342774 466373 474312 474318 10680
291 1298 102 13122 343704 343708 467681 475620 475626 10680
292 1300 0 13126 344637 344641 468987 476926 476932 10684
293 1297 102 13126 345571 345575 470295 478233 478239 10686
294 1298 51 13130 346508 346512 471535 479540 479546 10688
295 1298 51 13132 347444 347448 472841 480847 480852 10690
296 1299 51 13134 348378 348383 474148 482153 482159 10692
297 1298 51 13136 349315 349320 475455 483460 483466 10694
298 1298 51 13138 350249 350254 476726 484766 484773 10696
299 1298 51 13140 351184 351188 477956 486073 486079 10698
300 1299 51 13142 352119 352123 479221 487380 487386 10700
301 1298 51 13144 353054 353058 480456 488686 488692 10702
302 1299 51 13146 353988 353993 481763 489993 489999 10704
303 1298 51 13148 354923 354927 483069 491300 491306 10706
304 1298 22158 13150 355856 355860 484375 492606 492613 10708
305 1299 41020 13583 356915 356921 485682 493913 493919 10709
306 1299 42750 14350 358067 358071 486989 495220 495226 10711
307 1299 26552 15115 359220 359226 488296 496527 496533 11512
308 1299 75060 15574 360285 360290 489543 497835 497841 11935
309 1297 17456 16678 361536 361542 490837 499142 499148 11936
310 1299 66164 16960 362550 362556 492143 500448 500454 12111
311 1299 97 18094 363807 363811 493437 501756 501762 13210
312 1299 51 18096 364742 364746 494686 503063 503069 13212
313 1298 175 18098 365677 365681 495922 504370 504376 13214
314 1300 0 18102 366612 366616 497193 505676 505682 13218
315 1298 158 18102 367546 367551 498406 506983 506989 13218
316 1299 109 18106 368483 368486 499679 508289 508295 13222
317 1299 51 18108 369417 369421 500893 509596 509602 13224
