label,capfile,nFrames,nGolden,pctGolden,totInfoBits,totInfoErr,codedBER,codedBER_steady
ctrl20_conj_dec2,/mnt/onetb/scratch/qpsk_variants/two_jup/ctrl20_conj_dec2.iq,32,0,0.000,3840,1663,0.43307292,0.43145161
SELF146,/mnt/onetb/scratch/qpsk_variants/two_jup/self146_dec2.iq,31,0,0.000,3720,1587,0.42661290,0.42472222
self146,/mnt/onetb/scratch/qpsk_variants/two_jup/self146.iq,55,0,0.000,6600,3030,0.45909091,0.45895062
self146_dec2,/mnt/onetb/scratch/qpsk_variants/two_jup/self146_dec2.iq,31,0,0.000,3720,1587,0.42661290,0.42472222
self146_dec4,/mnt/onetb/scratch/qpsk_variants/two_jup/self146_dec4.iq,16,0,0.000,1920,822,0.42812500,0.42444444
self146_int2,/mnt/onetb/scratch/qpsk_variants/two_jup/self146_int2.iq,131,0,0.000,15720,6675,0.42461832,0.42410256
GOLDEN-OTA,/mnt/onetb/scratch/qpsk_variants/two_jup/golden_ota_dec2.iq,43,43,100.000,5160,0,0.00000000,0.00000000
LNA-air,/mnt/onetb/scratch/qpsk_variants/two_jup/lna_air_dec2.iq,32,0,0.000,3840,1650,0.42968750,0.42822581
FINAL-air,/mnt/onetb/scratch/qpsk_variants/two_jup/final_air_dec2.iq,34,0,0.000,4080,1785,0.43750000,0.43611111
LNA@2.0,/mnt/onetb/scratch/qpsk_variants/two_jup/lna20_dec2.iq,32,0,0.000,3840,1632,0.42500000,0.42311828
LNA+backoff,/mnt/onetb/scratch/qpsk_variants/two_jup/lna20b_dec2.iq,33,0,0.000,3960,1714,0.43282828,0.43125000
fail_10_035625,/mnt/onetb/scratch/qpsk_variants/two_jup/soak/fail_10_035625_d2.iq,5,0,0.000,600,264,0.44000000,0.43541667
fail_33_040727,/mnt/onetb/scratch/qpsk_variants/two_jup/soak/fail_33_040727_d2.iq,5,0,0.000,600,262,0.43666667,0.43125000
fail_59_041756,/mnt/onetb/scratch/qpsk_variants/two_jup/soak/fail_59_041756_d2.iq,5,0,0.000,600,261,0.43500000,0.43125000
fail_90_043123,/mnt/onetb/scratch/qpsk_variants/two_jup/soak/fail_90_043123_d2.iq,5,0,0.000,600,262,0.43666667,0.43541667
dump,soak/fail_10_035625_d2.iq,5,0,0.000,600,264,0.44000000,0.43541667
dump,soak/fail_33_040727_d2.iq,5,0,0.000,600,262,0.43666667,0.43125000
dump,soak/fail_90_043123_d2.iq,5,0,0.000,600,262,0.43666667,0.43541667
ne,ne_failing_d2.iq,6,6,100.000,720,0,0.00000000,0.00000000
d,soak/fail_10_035625_d2.iq,5,0,0.000,600,264,0.44000000,0.43541667
d,soak/fail_90_043123_d2.iq,5,0,0.000,600,262,0.43666667,0.43541667
disc_modem,/mnt/onetb/scratch/qpsk_variants/two_jup/disc_modem_d2.iq,10,0,0.000,1200,527,0.43916667,0.43703704
disc_dma,/mnt/onetb/scratch/qpsk_variants/two_jup/disc_dma_d2.iq,10,0,0.000,1200,518,0.43166667,0.43055556
disc_modem2,/mnt/onetb/scratch/qpsk_variants/two_jup/disc_modem2_d2.iq,11,0,0.000,1320,570,0.43181818,0.42833333
SEPARATED,/mnt/onetb/scratch/qpsk_variants/two_jup/separated_d2.iq,35,0,0.000,4200,1730,0.41190476,0.41053922
SOUNDING-OTA,/mnt/onetb/scratch/qpsk_variants/two_jup/sounding_ota_d2.iq,220,219,99.545,26400,48,0.00181818,0.00000000
AB-MODEM,/mnt/onetb/scratch/qpsk_variants/two_jup/ab_modem_d2.iq,44,43,97.727,5280,45,0.00852273,0.00000000
REPRO-offline,/mnt/onetb/scratch/qpsk_variants/two_jup/repro_d2.iq,55,0,0.000,6600,2677,0.40560606,0.40462963
SPLIT-146-rebooted,/mnt/onetb/scratch/qpsk_variants/two_jup/split146_d2.iq,27,0,0.000,3240,1346,0.41543210,0.41378205
SPLIT-148-rebooted,/mnt/onetb/scratch/qpsk_variants/two_jup/split148_d2.iq,21,21,100.000,2520,0,0.00000000,0.00000000
GONOGO-GO,/mnt/onetb/scratch/qpsk_variants/two_jup/gonogo_logs/try1_d2.iq,16,15,93.750,1920,47,0.02447917,0.00000000
fdd_linkA,/mnt/onetb/scratch/qpsk_variants/two_jup/gonogo_logs/fdd_linkA_d2.iq,16,15,93.750,1920,45,0.02343750,0.00000000
fdd_linkB,/mnt/onetb/scratch/qpsk_variants/two_jup/gonogo_logs/fdd_linkB_d2.iq,16,16,100.000,1920,0,0.00000000,0.00000000
swapchk,gonogo_logs/try1_d2.iq,16,15,93.750,1920,47,0.02447917,0.00000000
