# word	offset_bits  (frame=24640 bits; window=32 bits, LSB-packed from FEC startIn)
097C25C4	5573
097DF6ED	7303
097ECCE2	8570
09842399	22794
0985E49F	21353
0987FEDC	20618
0988398C	5689
098B47BD	14582
098BA92F	17816
098CEC2C	19491
098F2D4C	23221
0991EF7B	9463
09928FC3	4477
0994E995	13647
0995350B	4629
09965A9F	3627
0996BB62	3530
0996CD63	15937
09981892	17895
0999C483	13789
0999D3B7	10582
0999F3FF	21843
099BE3F8	16486
099D1F78	24603
099D67DD	5083
099F1A80	21062
099F77CC	20160
09A38A8A	24210
09AA6298	9494
09AB9193	15397
09B2536E	22380
09BB0583	23353
09BC082A	16221
09C0F1C6	17248
09C217ED	15748
09C6B385	20419
09C803F3	9571
09C92D78	12835
09C9594E	16840
09C9D4F2	19541
09CD0AF9	17364
09CD6B4F	16028
09D150C4	6701
09D370BA	530
09D62F78	20448
09DAA843	7634
09E0D4B5	10703
09E6A721	5429
09E6B693	16123
09E92329	7883
09EDD421	5745
09F0F257	4117
09F2B51A	4224
09F300B0	14450
09F7FD13	16536
09FB3ACF	1107
0A094BC3	11931
0A0B19F0	2844
0A0C10C2	1621
0A0EE033	4963
0A0F98D1	19835
0A10BA6B	993
0A188761	7353
0A1ACC1A	17483
0A1E5E0F	6149
0A1E962E	20239
0A2463E9	14231
0A27644B	18320
0A27D883	12468
0A28AE18	18182
0A2A2DC4	15671
0A2A5600	1068
0A2B5F68	15082
0A2CA93F	2371
0A2F648B	19951
0A2FFD7A	11016
0A303960	5718
0A31BE44	5997
0A325091	11668
0A326591	20394
0A32A705	6174
0A32B38C	3738
0A358359	8811
0A3E3EF0	22953
0A4040DE	18610
0A40AD12	16169
0A44B5C5	13459
0A46D450	14895
0A496368	19156
0A4DFA3E	840
0A4FC412	23125
0A540FA0	18719
0A56E8A9	7679
0A5DFE9D	6270
0A5E6CE4	14307
0A605937	1711
0A656030	18404
0A727C9D	6902
0A73F9FB	17213
0A73FC33	15293
0A760F81	3920
0A760FC3	7137
0A78A678	17740
0A79DDA0	15464
0A7D9BCD	958
0A7E6B70	4718
0A859ADF	11756
0A8BF4D8	16199
0A8C51BD	2790
0A9038C1	9415
0A9271B4	4765
0A9389DB	24423
0A93BDC7	21235
0A957250	14615
0A966569	8079
0A9C24D5	11581
0A9E2A85	11041
0AA11ABA	13822
0AA55E8D	14867
0AA5C81C	8622
0AA8A3C1	5289
0AA92987	9201
0AA93C1E	14655
0AAA48B7	1353
0AAB77ED	13744
0AB0E94D	13053
0AB121C5	19621
0AB719C8	5339
0AB771CE	6643
0ABEF64E	13888
0AC295BA	7689
0AC37BAF	17008
0AC8B425	19887
0ACA5CD5	3242
0AD129A2	16157
0ADA93EF	1413
0ADAC328	3441
0ADB0C25	16386
0ADBE2D0	15966
0ADF5554	2108
0ADFB1FD	318
0AE0AAA4	1365
0AE628EF	642
0AE654A8	18476
0AEA9565	1975
0AEEF57D	19749
0AEEF6DC	3578
0AF94CB9	23550
0AF9B51C	17348
0AFAC825	8592
0AFC0465	16646
0AFC18C7	15343
0AFDFB99	17429
0AFEBF04	22447
0AFFC390	18532
0B00FEB3	14430
0B022812	13503
0B02C5D8	21654
0B056D49	1422
0B070457	23336
0B1760B5	21644
0B19F0F4	2836
0B1C0347	8499
0B1E298A	19355
0B26E57C	1698
0B27A2FA	22306
0B2967D1	2650
0B2C2406	19469
0B2FEAAB	17783
0B34940E	22919
0B351049	11098
0B35BE8A	11747
0B367149	4536
0B39A8B2	18898
0B3ADC7B	12991
0B3C8D4A	19038
0B44E900	21406
0B463298	8288
0B491C8D	17065
0B4A3C90	9876
0B4FD460	7969
0B54D4AA	20951
0B54E51C	21624
0B5F504B	15222
0B6443B9	3481
0B667A8E	21142
0B670CCE	4605
0B6DD970	195
0B6E5012	7326
0B7327D7	9848
0B752BD2	2075
0B79F148	24633
0B7CF9E4	10409
0B7D8D39	14029
0B7DC6C5	8888
0B7E334B	8332
0B836F49	3975
0B87ECD2	7045
0B9257F9	20892
0B94F818	23091
0B9514E9	22600
0B98207D	10335
0B98A3B4	19652
0B9AF60D	18834
0BA07E6E	21767
0BA0D657	510
0BA33458	16937
0BA6B814	981
0BA9CCA5	1227
0BAC6AE6	5229
0BACEA13	21376
0BB32C62	21947
0BBAB9D9	5402
0BBEE50F	22093
0BC34680	11786
0BC93E7B	21344
0BDB11D2	24278
0BDD05CC	19669
0BDD324B	23254
0BDD91E6	4012
0BDF90E4	10763
0BE2D4D0	18081
0BE554CC	4573
0BE5F2A1	3859
0BE94C96	167
0BE992C7	13120
0BEA558C	3770
0BF1F081	9300
0BF2D024	21543
0BF2D69A	12555
0BF3E42F	13142
0BF4517F	8410
0BF6B15F	1815
0BF6C706	15733
0BFA96E3	18691
0BFC5F9D	16728
0BFEA95D	21031
0BFFA926	22650
0BFFB237	3006
0C01AAE5	22010
0C033BCF	19410
0C057055	1374
0C07BABE	15641
0C08D57C	8026
0C0C645F	18049
0C0C8DE5	18360
0C10C21B	1613
0C190ABE	13904
0C1FEC30	18382
0C21A023	3672
0C21B641	1601
0C257333	16370
0C2AC3A5	13059
0C2FFEA4	22656
0C3181A5	13321
0C31A7AF	14697
0C355254	20479
0C36D3B9	18159
0C3FC568	11905
0C3FE58A	13358
0C42A4E2	24433
0C43B0B6	7346
0C43EB3F	6681
0C45B77F	9242
0C46E2A6	7764
0C4974BC	17880
0C49753B	6347
0C4D4A5C	15606
0C560E9F	15821
0C580C69	16304
0C59C98D	23068
0C5B2AFB	22216
0C606972	13315
0C61F25A	12131
0C62E8BB	15053
0C63CF1F	15328
0C645FE0	18041
0C68E857	18497
0C693E71	17965
0C694462	16288
0C69EBC7	14691
0C70DF4D	12606
0C72685F	1836
0C7871AA	12360
0C7AA762	8223
0C7DDA25	13978
0C7E669B	5117
0C855F7B	13897
0C85A7EA	7978
0C88C210	67
0C8A2911	15537
0C8DE55F	18352
0C9C9BB7	7608
0C9FEE5E	12660
0CA08678	3423
0CA7651C	11453
0CA8CC37	6079
0CAD6BF2	1296
0CAED1E0	13423
0CB0A325	11680
0CB55E09	16864
0CBB5E1E	23299
0CC132D7	3541
0CC417B6	24293
0CC58AB6	14277
0CC69D66	13236
0CCD37F1	9804
0CCE0BE5	4589
0CD91F94	19444
0CDB0FFA	17105
0CDB3434	4291
0CDDD0E4	6513
0CDDEEE1	12687
0CDE0506	1638
0CE5A9DB	23648
0CE83765	4384
0CE84A82	20584
0CEA43FF	4941
0CEC7BD3	10058
0CEF3DF2	19400
0CF05481	9428
0CF124D6	3406
0CF5AFA5	15271
0CFE5D61	597
0D0119B0	3661
0D09C217	15756
0D0DF010	12442
0D12FF36	6426
0D157D05	6295
0D16FCE0	18810
0D1803B3	2181
0D1A00A8	11776
0D1C1F0E	18865
0D1EE644	8481
0D208EA2	21188
0D231EAE	2484
0D28EAF7	8950
0D2C8A55	15708
0D2E44EA	13302
0D34557C	4269
0D36930C	22240
0D3C26F0	16235
0D3CA70E	21805
0D3E1746	16952
0D496175	1246
0D49818A	15840
0D4B56FD	10691
0D5438AE	15904
0D549504	20473
0D57284A	21999
0D595AD3	22737
0D5A4F7F	9683
0D5C336C	4305
0D611F7F	20820
0D6125F9	3312
0D6411A0	1864
0D64D097	8793
0D652A71	20011
0D6573CA	498
0D660D77	17476
0D66E7EE	7111
0D72A919	17711
0D74CC22	21102
0D77527C	17460
0D79470B	20975
0D7EB17B	10455
0D829E77	15474
0D851953	6183
0D8C6778	14156
0D918266	10600
0D925821	15436
0D93DE46	725
0D9A7A93	1516
0DA26E01	15131
0DA567F0	17594
0DAE2975	10177
0DAE5202	1139
0DB20976	1590
0DB2D2D9	13563
0DB4EE5D	18153
0DBD241C	3965
0DBEDDCD	19312
0DCA0CDD	6529
0DD1011F	22878
0DD239C5	11836
0DD4210A	12492
0DD46BA1	15564
0DD4D887	12786
0DD5A1E2	2963
0DD94D93	4370
0DDDD134	19244
0DE0672D	23661
0DE204B3	6057
0DE24659	5524
0DE39FA0	18781
0DE6469F	6803
0DE977A5	2714
0DEA3594	18590
0DED7F3B	14350
0DEEBF3B	16998
0DF010F3	12434
0DF0407A	20127
0DF2507E	257
0DF4D744	12594
0DFC0207	9011
0DFC6530	20508
0DFD7E44	3094
0E002424	11222
0E072898	2441
0E08AEC0	23327
0E1448C7	14238
0E15F590	8599
0E1735EC	18841
0E1892EA	6354
0E1B44DC	15138
0E1BDAFE	14357
0E1C4D67	23902
0E1F8129	18283
0E260429	3942
0E26B3CF	23895
0E290C3F	13374
0E2B8779	15890
0E2D6A72	17850
0E2EB7EA	19602
0E304A8D	9401
0E30BDD0	19681
0E3535D1	6395
0E354114	12347
0E3858F1	19368
0E3BCDE5	17672
0E410634	18514
0E41F422	6493
0E436959	17604
0E4ACB6F	10743
0E50CDE0	1650
0E5131FF	2432
0E545012	4338
0E57DAB3	6116
0E581310	5704
0E60D28E	8962
0E60E8B0	11487
0E62930B	13527
0E633727	5675
0E65C8E9	5491
0E698D3C	8710
0E69C4AF	12761
0E6E049E	3141
0E6E776D	10002
0E7B9736	5185
0E7D6B44	11317
0E82CA59	2660
0E8B0432	11475
0E8BE884	20316
0E8C51EA	19079
0E8E0D23	2500
0E94D662	13041
0E972820	18560
0E9F3EDB	15805
0EA1C004	11233
0EA22155	13763
0EA3178D	6835
0EA4FA62	7517
0EB668C3	11259
0EBC5295	23810
0EBEE818	13082
0EC29258	19166
0EC2DB94	7336
0EC5C8EE	22989
0EC6AB9D	10835
0EC8A61E	10236
0ECC0143	20258
0ECD1E34	2163
0ECDC5AC	7723
0ED58411	11965
0EDA5AE0	15167
0EDA8076	23010
0EDC2654	4643
0EDCC3E7	24245
0EE033A9	4955
0EE05393	6915
0EE338A2	9944
0EE3FF2F	5878
0EE5002B	3463
0EE772CA	9640
0EE82E81	21781
0EEC8272	19559
0EEFEB66	3172
0EF22822	15873
0EF406E8	22895
0EF87B32	12194
0EFB1D68	1187
0EFEEA9F	4852
0EFF55D4	4451
0EFF69AE	23457
0EFFB1E0	3200
0F03BB20	19569
0F0F665B	12926
0F139407	23035
0F162DAB	2944
0F167340	1549
0F18442F	23276
0F19359B	6974
0F1AEC61	11344
0F1C6C14	17236
0F1E113F	5783
0F1E4504	3060
0F20745F	20329
0F209AB9	15409
0F257ADE	4105
0F26106C	14177
0F278FB7	10513
0F28DA15	4788
0F2D8CD7	5262
0F2F07C3	6142
0F2F3A92	21471
0F303B70	4657
0F319FE2	14735
0F38B07A	12414
0F3ACB7E	2252
0F3CB16C	22340
0F4213E5	4239
0F42CF23	19048
0F445428	15104
0F45CF94	12393
0F47EEF0	224
0F4992A8	15504
0F4A2590	23717
0F4B1713	20232
0F4BC042	2816
0F4BE086	8248
0F4F166F	16430
0F508BE8	10213
0F548A0E	8986
0F5492BA	21580
0F57553B	18969
0F58A79B	16789
0F5901A9	1265
0F5BAF60	20106
0F649901	16457
0F664A22	12181
0F665B1E	12918
0F674F9E	23985
0F69054A	14632
0F6A0EF8	12210
0F6F059A	11115
0F718883	18995
0F757D43	15632
0F78BC9F	8539
0F811769	20057
0F812C4B	14069
0F81F184	3904
