# word	offset_symbols  (frame=12320 symbols; window=16 symbols, MSB-first {sign(I),sign(Q)})
0CA04AB9	2865
0CA1E2B2	6117
0CA41FCF	1096
0CABDA52	3983
0CAEEAF0	11343
0CBB443C	6699
0CC42ADC	8953
0CC75C25	10552
0CCF9FFD	4633
0CD00A25	5750
0CD42BB3	5173
0CDC664D	4759
0CE4E1CC	4156
0CEB355C	5410
0CEC3A77	10134
0CECD645	12005
0CF60560	7229
0CF6ADE5	6923
0CF77D98	10077
0CFC764D	2516
0D049EEA	1229
0D08D6A8	4308
0D08E864	7187
0D0E09DC	11672
0D11D71F	6291
0D11F197	171
0D1EBCBA	10423
0D1F1C56	11017
0D2EE119	9150
0D2F0B29	9429
0D30722B	6309
0D385E1A	333
0D3A678C	7964
0D3ED858	10986
0D40074D	3530
0D453259	10965
0D4B26D1	1995
0D5030BF	689
0D59D87D	4186
0D5ADA19	2951
0D60B6B4	5327
0D685C4C	7800
0D71D481	492
0D7879D2	7582
0D7D6345	5477
0D81C38C	7881
0D8202A9	8631
0D89B442	2904
0D8CD931	11078
0D972C4B	10209
0D992CE5	2299
0D9D5CD6	1612
0D9E91B2	8523
0DA7ED1E	7283
0DA859B1	606
0DA8CA0E	3087
0DAD9767	546
0DAE1C94	2204
0DC4792C	7566
0DC76024	267
0DCD267A	1575
0DCF3D62	5644
0DD05257	2484
0DD081A1	3464
0DDFB990	6342
0DE8E1CD	10868
0DE9BDA0	2357
0DEBBE98	7684
0DFF58B8	2775
0E00CF60	7223
0E025106	10835
0E09DC48	11676
0E0AB5DE	719
0E2CF040	6209
0E2EA63D	2251
0E30E64C	5846
0E329DE7	7890
0E38E67C	9595
0E403E23	3099
0E4D3C0D	8619
0E538F3C	11167
0E56F5E8	6585
0E576376	11759
0E64C597	5852
0E677B3F	8488
0E6BD454	8097
0E77C573	6475
0E7A0B8E	8197
0E80480D	8511
0E890985	7915
0E914264	4409
0E9BC5B2	11409
0E9DF1B4	10141
0EA7421F	5986
0EA7C547	3829
0EB77A95	11963
0EB8FD90	297
0EBD0D59	4178
0EC13050	3675
0EC38E39	9590
0EC52AAD	3573
0ED16BE2	9557
0EE4C771	1371
0EE973D5	4001
0EF7B3F5	7166
0EF8812D	1000
0EFD0C09	9192
0F0E77C5	6471
0F12D7DE	5358
0F239F7D	7995
0F29D592	6710
0F2BA6A4	3192
0F2D0D89	2896
0F3077ED	4720
0F3AB935	8281
0F3CB15A	9997
0F432711	7042
0F43E3C1	3070
0F48A444	10036
0F4AFED8	4832
0F4ED1E2	7243
0F4FE07A	4652
0F53E63D	7463
0F55B723	9172
0F56D7F4	147
0F5977E5	3430
0F616E1F	7623
0F61775C	8727
0F64E0A0	1420
0F68D406	11547
0F6AE1C8	11135
0F707089	6223
0F822466	5900
0F855DDD	8814
0F86AE26	8904
0F87584C	8937
0F87C3D9	1411
0F88DE5E	3106
0F8F050D	3075
0F9011F1	11837
0F996958	202
0F9ECDE9	12061
0FA75909	11650
0FB88331	10543
0FBBD1F0	110
0FBCACC4	12299
0FBEEDAA	4457
0FC0256A	527
0FC34BB8	9145
0FC5C857	12231
0FCD7D8C	4916
0FCEA7D5	3052
0FCF49B9	12117
0FD0D685	7794
0FD95A70	8795
0FE268C9	4136
0FE814E5	8328
0FECF323	1897
0FF88C90	9019
0FFE820A	9269
0FFF632C	5013
10025116	6080
1008E27F	1283
1011C58A	8072
1011DC0A	11440
101456C3	2168
1016E783	3662
101A0B45	9309
101A35E4	567
102FE417	4507
10313684	4796
1033F1D9	2513
103DC1C2	6220
103E1F0F	1408
103F0095	524
103FA053	8325
104068D7	564
10448F1B	9756
1045CE0B	5549
1049CC80	1824
1051B4F0	1528
1051B74B	7936
10528820	5972
105925E5	1716
105F5E0F	7611
1061AFB1	10845
1065C2E4	935
1067742D	9781
1068BCF9	12312
106BB974	12249
106C3FFA	9262
106D2096	7709
1078BE7A	7979
107AE14D	5081
107EE4C5	2069
10891169	8138
1093E1A9	6428
10949853	6757
1096C0CA	2855
1098B086	1973
109A26A9	4742
109D3BC3	5314
109FAE5F	10049
10A5BD49	10771
10A6CE2D	771
10AB7176	8958
10AB79D3	2915
10AEA44A	6905
10AEB694	4096
10B712DA	8113
10CD42BB	5171
10D0E09D	11670
10D45325	10963
10E2EA63	2249
10F29D59	6708
10F6AE1C	11133
10F99695	200
11051B74	7934
1106BB97	12247
1107AE14	5079
11089116	8136
1109FAE5	10047
11123845	11851
1117418B	6885
1118CEF6	4866
