267 1273 51 1272 1272 0 1273
268 1273 51 1273 1273 0 1272
269 1273 51 1273 1273 0 1273
270 1272 51 1273 1273 0 1273
271 1273 52 1272 1272 0 1272
272 1273 51 1273 1273 0 1273
273 1272 51 1272 1272 0 1272
274 1272 102 1272 1272 0 1272
275 1274 0 1274 1274 0 1274
276 1271 102 1271 1272 0 1272
277 1273 51 1274 1273 0 1273
278 1273 51 1273 1272 0 1273
279 1273 51 1273 1274 0 1273
280 1272 51 1271 1271 0 1271
281 1273 51 1273 1273 0 1273
282 1273 51 1273 1273 0 1273
283 1272 51 1273 1273 0 1272
284 1273 51 1272 1272 0 1273
285 1273 51 1273 1273 0 1273
286 1272 51 1272 1272 0 1272
287 1273 51 1273 1273 0 1273
288 1272 51 1273 1273 0 1273
289 1273 51 1272 1272 0 1272
290 1273 51 1273 1273 0 1273
291 1272 51 1272 1272 0 1272
292 1277 51 1278 1279 0 1279
293 1275 51 1275 1274 0 1274
294 1274 51 1273 1273 0 1273
295 1273 52 1273 1273 0 1273
296 1273 51 1273 1273 0 1273
297 1273 51 1273 1273 0 1274
298 1273 51 1273 1273 0 1272
299 1273 51 1273 1273 0 1273
300 1273 51 1273 1273 0 1273
301 1272 51 1273 1273 0 1273
302 1273 52 1273 1273 0 1273
303 1273 51 1273 1273 0 1273
304 1274 51 1273 1273 0 1273
305 1272 51 1272 1272 0 1272
306 1272 51 1272 1272 0 1272
307 1272 51 1272 1272 0 1272
308 1273 51 1273 1273 0 1273
309 1273 51 1273 1273 0 1273
310 1272 51 1272 1272 0 1272
311 1273 51 1273 1273 0 1273
312 1272 51 1272 1272 0 1272
313 1273 51 1273 1273 0 1273
314 1272 51 1272 1272 0 1272
315 1272 51 1273 1273 0 1273
316 1273 51 1272 1272 0 1273
317 1273 51 1273 1273 0 1273
318 1273 51 1273 1273 0 1272
319 1273 51 1273 1273 0 1273
320 1272 51 1272 1272 0 1272
321 1273 52 1274 1274 0 1274
322 1274 51 1273 1274 0 1275
323 1275 33606 1275 1274 0 1273
324 1272 29996 1272 1272 0 1272
325 1273 51186 1273 1273 0 1273
326 1273 18572 1273 1273 0 1273
327 1273 80580 1273 1273 0 1273
328 1271 15225 1271 1271 0 1271
329 1273 64018 1273 1273 0 1274
330 1273 97 1273 1274 0 1273
331 1272 51 1272 1271 0 1272
332 1273 124 1273 1274 0 1273
333 1273 51 1274 1273 0 1273
334 1271 158 1271 1271 0 1271
335 1273 109 1272 1273 0 1273
336 1272 51 1273 1272 0 1272
337 1273 106 1273 1273 0 1273
338 1272 51 1271 1271 0 1272
339 1273 87 1273 1273 0 1273
340 1273 51 1273 1274 0 1273
341 1272 141 1272 1271 0 1271
342 1274 0 1274 1273 0 1273
343 1272 155 1272 1273 0 1273
344 1272 67 1273 1273 0 1273
345 1273 51 1272 1272 0 1273
346 1273 82 1273 1273 0 1273
347 1273 51 1273 1273 0 1272
348 1272 126 1272 1272 0 1272
349 1272 101 1273 1273 0 1273
350 1273 51 1273 1274 0 1274
351 1275 74 1274 1273 0 1274
352 1273 51 1273 1273 0 1272
353 1273 79 1273 1273 0 1273
354 1272 51 1272 1273 0 1273
355 1272 132 1272 1271 0 1271
356 1273 77 1273 1273 0 1273
357 1272 51 1272 1272 0 1273
358 1273 55 1273 1273 0 1272
359 1273 51 1273 1273 0 1273
360 1272 71 1273 1273 0 1273
361 1272 51 1271 1271 0 1271
362 1272 120 1272 1272 0 1272
363 1272 54 1272 1273 0 1273
364 1273 51 1273 1272 0 1272
365 1272 54 1272 1272 0 1272
366 1273 51 1273 1273 0 1273
367 1272 55 1272 1272 0 1272
368 1272 51 1272 1272 0 1272
369 1272 102 1272 1272 0 1272
370 1273 51 1273 1273 0 1273
371 1273 51 1273 1273 0 1273
372 1273 51 1273 1273 0 1273
373 1272 52 1273 1273 0 1273
374 1273 51 1273 1273 0 1273
375 1273 51 1272 1272 0 1272
376 1272 102 1272 1272 0 1272
377 1273 51 1273 1273 0 1273
378 1273 51 1273 1273 0 1274
379 1274 51 1274 1274 0 1274
380 1274 51 1274 1274 0 1273
381 1273 51 1273 1273 0 1274
382 1272 51 1272 1272 0 1272
383 1272 51 1272 1273 0 1271
384 1271 102 1271 1270 0 1271
385 1273 51 1273 1273 0 1273
386 1273 114 1273 1273 0 1273
387 1273 51 1273 1273 0 1273
388 1273 51 1273 1273 0 1273
389 1273 51 1273 1273 0 1273
390 1273 51 1273 1273 0 1273
391 1273 51 1273 1273 0 1274
392 1272 51 1272 1273 0 1272
393 1272 102 1273 1272 0 1272
394 1274 0 1274 1274 0 1274
395 1273 102 1272 1272 0 1272
396 1274 0 1274 1274 0 1273
397 1271 102 1271 1271 0 1273
398 1273 51 1274 1274 0 1273
399 1273 51 1273 1273 0 1273
400 1273 51 1273 1273 0 1273
