k,crc_ok,seq,nwords,cksum16,cfc_est,ss_err_rms,cs_err_rms,ssIntP,ssIntI,csIntP,csIntI,pdsync
24,1,32033,191,61742,-730,0.0,0.000,0,4409,7056,3186688,1
25,1,32034,191,60395,-717,0.0,0.000,0,3395,-54880,5177344,1
26,1,32035,191,60399,-710,0.0,0.000,0,5045,-5488,-3317760,1
27,1,32036,191,60874,-700,0.0,0.000,0,5241,38416,-4833280,1
28,1,32037,191,60486,-710,0.0,0.000,0,3947,3920,-442368,1
29,1,32038,191,60038,-720,0.0,0.000,0,3492,18032,3563520,1
30,1,32039,191,60548,-713,0.0,0.000,0,5219,37632,1556480,1
31,1,32040,191,60591,-694,0.0,0.000,0,4971,36064,-2949120,1
32,1,32041,191,60713,-724,0.0,0.000,0,3810,-56448,4751360,1
33,1,32042,191,61824,-718,0.0,0.000,0,3856,25088,-909312,1
34,1,32043,191,60867,-719,0.0,0.000,0,4102,25872,2048000,1
35,1,32044,191,60099,-723,4174130.7,0.000,0,3793,-61152,5373952,1
36,1,32045,191,60841,-721,6009871.0,0.000,0,3897,12544,3997696,1
37,1,32046,191,61004,-725,6081187.4,0.000,0,3829,15680,2465792,1
38,1,32047,191,62686,-714,5973456.9,0.000,0,3997,39984,2695168,1
39,1,32048,191,61025,-708,4658708.3,0.000,0,4344,3920,778240,1
40,1,32049,191,60352,-716,0.0,0.000,0,3694,-1568,-131072,1
