ts,iter,mode,class,locks,caps,rssi,temp148,temp146,cfo_hz,capfile
2026-07-07T04:29:07-04:00,82,rearm,VARYING,0/5,"0x9D6E1A32;0xCF2266DC;0x177A46FC;0xF1C09F04;0x78364422;",24.976,57000,59000,-5496,fail_82_042905.iq
2026-07-07T04:29:25-04:00,83,rearm,VARYING,0/5,"0x5189B4B4;0xD8DDCB74;0xF0A779C0;0xF5DA2124;0xD62028BA;",25.131,57000,59000,-5511,fail_83_042923.iq
2026-07-07T04:29:42-04:00,84,rearm,VARYING,0/5,"0x3A91714;0x65A7A230;0x1EE7F430;0x3EB26E8C;0xC1DFD500;",25.173,54000,59000,-5518,fail_84_042940.iq
2026-07-07T04:29:59-04:00,85,rearm,VARYING,0/5,"0x2CCB3292;0xFD1D3F1C;0xD9D41FA;0x45FCDA06;0x45FCDA06;",24.888,57000,58000,-5511,fail_85_042957.iq
2026-07-07T04:30:16-04:00,86,rearm,VARYING,0/5,"0xBB697F34;0xBB697F34;0xE643A2F0;0xD83FBB5E;0x1492A9BE;",24.951,56000,58000,-5511,fail_86_043014.iq
2026-07-07T04:30:33-04:00,87,rearm,VARYING,0/5,"0x21DA101A;0x21DA101A;0x348BA072;0xD363061E;0xECE33A94;",25.420,56000,58000,-5511,fail_87_043031.iq
2026-07-07T04:30:50-04:00,88,rearm,VARYING,0/5,"0x7094C06C;0xEEBB4B32;0xCB3D467C;0x9E5510B2;0xC7BEC6C0;",25.145,55000,57000,-5504,fail_88_043048.iq
2026-07-07T04:31:08-04:00,89,rearm,VARYING,0/5,"0xAEA16E8C;0x7734554A;0x7EBC1B20;0x2372A9BC;0x7FF185CC;",25.169,56000,57000,-5504,fail_89_043106.iq
2026-07-07T04:31:25-04:00,90,rearm,VARYING,0/5,"0x9831C1BA;0xA6364BBE;0xFE25D16C;0x6A3B8748;0xBAD5264C;",25.122,56000,59000,-5496,fail_90_043123.iq
2026-07-07T04:33:15-04:00,91,reboot,VARYING,0/5,"0xC6E74DC8;0x7A474754;0x69F0387A;0xE42979C0;0x77AA618A;",25.153,57000,57000,-5423,fail_91_043313.iq
2026-07-07T04:33:32-04:00,92,rearm,VARYING,0/5,"0x94130A84;0x291FB344;0x5CEB7900;0x51920778;0xB40EBA92;",24.944,57000,58000,-5489,fail_92_043330.iq
2026-07-07T04:33:49-04:00,93,rearm,VARYING,0/5,"0xD39D736A;0xED764FA4;0xCBA18126;0xEB0C79CE;0x12685762;",24.957,57000,57000,-5504,fail_93_043347.iq
2026-07-07T04:34:06-04:00,94,rearm,VARYING,0/5,"0x967FFA34;0x4C98D172;0xC3981158;0xE16ED9D2;0x1B27EFCE;",24.980,57000,59000,-5504,fail_94_043404.iq
2026-07-07T04:34:22-04:00,95,rearm,VARYING,0/5,"0x1CBBAC4C;0xACF8FB84;0xC7B4C7B0;0x71E572C8;0x502946F4;",25.138,57000,59000,,
2026-07-07T04:34:37-04:00,96,rearm,VARYING,0/5,"0xD58BCB7A;0xC83C6830;0xE4987BB8;0xB1F95D5E;0xD1AA6FDE;",25.139,56000,57000,,
2026-07-07T04:34:52-04:00,97,rearm,VARYING,0/5,"0xF9601A0C;0x4221AC08;0x2CC71604;0x2BD07B60;0x1923F38C;",24.878,56000,57000,,
2026-07-07T04:35:07-04:00,98,rearm,VARYING,0/5,"0x29877AC;0xBA9EC48;0x3E89D59E;0xF22F9790;0x23871640;",24.981,54000,57000,,
2026-07-07T04:35:22-04:00,99,rearm,VARYING,0/5,"0x3B13BB10;0xF2D083A8;0x8319FC2E;0x862AF6CC;0x6D400C00;",25.162,55000,57000,,
2026-07-07T04:35:37-04:00,100,rearm,VARYING,0/5,"0x39C4C30A;0x4CA341A;0x15114734;0x56EEACB2;0xE18774C6;",25.185,55000,57000,,
2026-07-07T04:37:24-04:00,101,reboot,VARYING,0/5,"0xE780AD84;0x5DF38BCA;0x66D80600;0x50DCE53C;0x3ADAEC92;",25.131,59000,57000,,
2026-07-07T04:37:39-04:00,102,rearm,VARYING,0/5,"0xE3FC;0x2FC0B536;0xBD96E04;0x9E102602;0xA0DAD930;",25.138,57000,57000,,
2026-07-07T04:37:54-04:00,103,rearm,VARYING,0/5,"0xCE2BF5F2;0x181DCC6A;0x27DCBA8A;0xFFC3047E;0xB28EB5A6;",25.13,57000,58000,,
2026-07-07T04:38:10-04:00,104,rearm,VARYING,0/5,"0x82FAC3A2;0xA0BD772A;0x7CB91892;0xD201B408;0xFA3F0BE6;",25.175,57000,58000,,
2026-07-07T04:38:25-04:00,105,rearm,VARYING,0/5,"0xA7D39918;0xA7D39918;0x24A3F276;0x3380902A;0xAB1A52CC;",25.331,55000,57000,,
2026-07-07T04:38:40-04:00,106,rearm,VARYING,0/5,"0x669D8122;0x44B465CC;0xA65219C8;0xA26651B6;0x396EA520;",25.168,56000,59000,,
2026-07-07T04:38:55-04:00,107,rearm,VARYING,0/5,"0xA725EAB4;0x61B062EA;0x61B062EA;0x195AEB5A;0xAF58FB92;",25.298,57000,58000,,
2026-07-07T04:39:10-04:00,108,rearm,VARYING,0/5,"0xD2A0D26;0xB34CD37E;0x516E8D32;0x91824F8E;0x8FCE199A;",25.424,56000,58000,,
2026-07-07T04:39:25-04:00,109,rearm,VARYING,0/5,"0x205E5664;0x57D26754;0x4908C1F2;0x39C4AFB2;0x740F0476;",24.909,54000,57000,,
2026-07-07T04:39:40-04:00,110,rearm,VARYING,0/5,"0xBB85E2A2;0x0;0xD40957EE;0x7A7D6C52;0x3A3F9F66;",25.358,56000,58000,,
2026-07-07T04:41:28-04:00,111,reboot,VARYING,0/5,"0xF3B2D890;0x8E7AB26A;0x286CED18;0x44F6E0AE;0x81D98228;",25.225,59000,58000,,
2026-07-07T04:41:44-04:00,112,rearm,VARYING,0/5,"0x158011F0;0x65388E2E;0xEB175AC6;0x5338B4A8;0x36B5714;",25.281,57000,60000,,
2026-07-07T04:41:59-04:00,113,rearm,VARYING,0/5,"0x9BD4F008;0x41592FF0;0xC12901D8;0xB3A7438E;0xB3A7438E;",24.936,57000,58000,,
2026-07-07T04:42:14-04:00,114,rearm,VARYING,0/5,"0xAC08264;0x17D85200;0x1A02DC02;0xA97F3910;0x6C4307AA;",25.311,57000,58000,,
2026-07-07T04:42:29-04:00,115,rearm,VARYING,0/5,"0x7A922718;0xD4AFB194;0x5C2F1C2;0xA6D72566;0x439807BA;",25.383,55000,58000,,
2026-07-07T04:42:44-04:00,116,rearm,VARYING,0/5,"0x248008A2;0xCC8DB7B2;0xA0400880;0x8F198756;0xA4065938;",25.293,54000,60000,,
2026-07-07T04:42:59-04:00,117,rearm,VARYING,0/5,"0xE5C6C12A;0x96BC76B2;0x686E4C14;0xF1A9C5D8;0x6A81140C;",25.163,56000,59000,,
2026-07-07T04:43:14-04:00,118,rearm,VARYING,0/5,"0xA3447440;0x81A9EB10;0x9D7DBD7C;0xE5158220;0x28A673D6;",25.151,55000,59000,,
2026-07-07T04:43:29-04:00,119,rearm,VARYING,0/5,"0x31E2BF4E;0xB27FEA3C;0xE5542684;0x817DC794;0xABD40E80;",25.408,54000,60000,,
2026-07-07T04:43:45-04:00,120,rearm,VARYING,0/5,"0x65903660;0xB4DF7BF2;0x33D5BEDC;0x397A3F28;0xAD18D630;",25.256,56000,59000,,
2026-07-07T04:45:33-04:00,121,reboot,VARYING,0/5,"0xA19BAA5C;0xC434DA4;0x5A1C5C2E;0x54CE1FAE;0xD01DC81C;",25.283,58000,60000,,
2026-07-07T04:45:48-04:00,122,rearm,VARYING,0/5,"0xB38C8E4;0xE293DA4A;0x15679D86;0x97C61CE6;0x1A15506C;",25.137,57000,59000,,
2026-07-07T04:46:03-04:00,123,rearm,VARYING,0/5,"0x4ACA7E26;0x7AB89B9C;0x7AB89B9C;0xD7B7CAF8;0x6C71B252;",25.181,57000,58000,,
2026-07-07T04:46:18-04:00,124,rearm,VARYING,0/5,"0x851093A4;0x3C111BF8;0xF12EED32;0xF12EED32;0x1F6D3BC;",25.119,57000,57000,,
2026-07-07T04:46:33-04:00,125,rearm,VARYING,0/5,"0x745105E;0x2E48A59E;0xE8E22AC6;0x5E0ECA4;0x3CF3574;",24.983,55000,58000,,
2026-07-07T04:46:48-04:00,126,rearm,VARYING,0/5,"0x82FDB560;0xB3EE976E;0x72BD113E;0x23E4528;0x23E4528;",25.10,54000,57000,,
2026-07-07T04:47:03-04:00,127,rearm,VARYING,0/5,"0xBB68600C;0x59E8AD00;0xB3E8062E;0xE275E896;0x3EF4B118;",25.346,55000,57000,,
2026-07-07T04:47:19-04:00,128,rearm,VARYING,0/5,"0x390B17F8;0xC0B6549A;0x5491577A;0x6B014B4C;0xB22F76CE;",25.15,56000,57000,,
2026-07-07T04:47:34-04:00,129,rearm,VARYING,0/5,"0xE0AEB3DC;0xA941E998;0xE99F75F0;0x2C356D24;0x85F49A2A;",25.335,56000,58000,,
2026-07-07T04:47:49-04:00,130,rearm,VARYING,0/5,"0x3772E564;0xC34B3B20;0x165B58B6;0x25BD1B18;0xF795056A;",24.975,56000,58000,,
2026-07-07T04:49:45-04:00,131,reboot,VARYING,0/5,"0x81A6A788;0x1D1CE89E;0x3E582914;0xD92F3D94;0x7113F166;",24.967,58000,59000,,
2026-07-07T04:50:00-04:00,132,rearm,VARYING,0/5,"0x25F28B2A;0x8C750F06;0xA05B5470;0x42DB88CE;0x4E5C1734;",25.305,58000,60000,,
2026-07-07T04:50:15-04:00,133,rearm,VARYING,0/5,"0xF4BA5710;0x383BB640;0x59EFE8EC;0x2B4E86A2;0x3D510C72;",24.979,56000,58000,,
2026-07-07T04:50:31-04:00,134,rearm,VARYING,0/5,"0x5BBD1F08;0x79DC0D32;0x9FD25A10;0x2D8F2188;0x78D45734;",25.121,57000,57000,,
2026-07-07T04:50:46-04:00,135,rearm,VARYING,0/5,"0x21893FD2;0x6E4017C0;0x8120967A;0xB9D1C92;0x1F818F8A;",25.211,57000,59000,,
