k,seq_expected,crc_ok,seq_decoded,words,chunk,hw_lost
306,51303,1,51303,191,chunk_280_349_r0,0
307,51304,0,-1,191,chunk_280_349_r0,0
308,51305,0,-1,191,chunk_280_349_r0,0
309,51306,0,-1,191,chunk_280_349_r0,0
310,51307,1,51307,191,chunk_280_349_r0,0
311,51308,1,51308,191,chunk_280_349_r0,0
312,51309,1,51309,191,chunk_280_349_r0,0
313,51310,1,51310,191,chunk_280_349_r0,0
314,51311,1,51311,191,chunk_280_349_r0,0
315,51312,1,51312,191,chunk_280_349_r0,0
316,51313,0,-1,191,chunk_280_349_r0,0
317,51314,1,51314,191,chunk_280_349_r0,0
318,51315,1,51315,191,chunk_280_349_r0,0
319,51316,1,51316,191,chunk_280_349_r0,0
320,51317,1,51317,191,chunk_280_349_r0,0
321,51318,1,51318,191,chunk_280_349_r0,0
322,51319,1,51319,191,chunk_280_349_r0,0
323,51320,1,51320,191,chunk_280_349_r0,0
324,51321,0,-1,191,chunk_280_349_r0,0
325,51322,1,51322,191,chunk_280_349_r0,0
326,51323,1,51323,191,chunk_280_349_r0,0
327,51324,1,51324,191,chunk_280_349_r0,0
328,51325,0,-1,191,chunk_280_349_r0,0
329,51326,1,51326,191,chunk_280_349_r0,0
330,51327,1,51327,191,chunk_280_349_r0,0
331,51328,1,51328,191,chunk_280_349_r0,0
332,51329,1,51329,191,chunk_280_349_r0,0
333,51330,1,51330,191,chunk_280_349_r0,0
334,51331,1,51331,191,chunk_280_349_r0,0
335,51332,1,51332,191,chunk_280_349_r0,0
336,51333,1,51333,191,chunk_280_349_r0,0
337,51334,1,51334,191,chunk_280_349_r0,0
338,51335,1,51335,191,chunk_280_349_r0,0
339,51336,1,51336,191,chunk_280_349_r0,0
340,51337,1,51337,191,chunk_280_349_r0,0
341,51338,1,51338,191,chunk_280_349_r0,0
342,51339,1,51339,191,chunk_280_349_r0,0
343,51340,1,51340,191,chunk_280_349_r0,0
344,51341,1,51341,191,chunk_280_349_r0,0
345,51342,1,51342,191,chunk_280_349_r0,0
346,51343,1,51343,191,chunk_280_349_r0,0
347,51344,1,51344,191,chunk_280_349_r0,0
348,51345,1,51345,191,chunk_350_419_r0,0
349,51346,0,-1,191,chunk_350_419_r0,0
350,51347,1,51347,191,chunk_350_419_r0,0
351,51348,0,-1,191,chunk_350_419_r0,0
352,51349,1,51349,191,chunk_350_419_r0,0
353,51350,1,51350,191,chunk_350_419_r0,0
354,51351,1,51351,191,chunk_350_419_r0,0
355,51352,1,51352,191,chunk_350_419_r0,0
356,51353,0,-1,191,chunk_350_419_r0,0
357,51354,0,-1,191,chunk_350_419_r0,0
358,51355,1,51355,191,chunk_350_419_r0,0
359,51356,1,51356,191,chunk_350_419_r0,0
360,51357,1,51357,191,chunk_350_419_r0,0
361,51358,1,51358,191,chunk_350_419_r0,0
362,51359,1,51359,191,chunk_350_419_r0,0
363,51360,1,51360,191,chunk_350_419_r0,0
364,51361,1,51361,191,chunk_350_419_r0,0
365,51362,0,-1,191,chunk_350_419_r0,0
366,51363,1,51363,191,chunk_350_419_r0,0
367,51364,1,51364,191,chunk_350_419_r0,0
368,51365,1,51365,191,chunk_350_419_r0,0
369,51366,1,51366,191,chunk_350_419_r0,0
370,51367,1,51367,191,chunk_350_419_r0,0
371,51368,1,51368,191,chunk_350_419_r0,0
372,51369,1,51369,191,chunk_350_419_r0,0
373,51370,1,51370,191,chunk_350_419_r0,0
374,51371,1,51371,191,chunk_350_419_r0,0
375,51372,1,51372,191,chunk_350_419_r0,0
376,51373,1,51373,191,chunk_350_419_r0,0
377,51374,0,-1,191,chunk_350_419_r0,0
378,51375,1,51375,191,chunk_350_419_r0,0
379,51376,1,51376,191,chunk_350_419_r0,0
380,51377,1,51377,191,chunk_350_419_r0,0
381,51378,1,51378,191,chunk_350_419_r0,0
382,51379,1,51379,191,chunk_350_419_r0,0
383,51380,1,51380,191,chunk_350_419_r0,0
384,51381,1,51381,191,chunk_350_419_r0,0
385,51382,1,51382,191,chunk_350_419_r0,0
386,51383,1,51383,191,chunk_350_419_r0,0
387,51384,1,51384,191,chunk_350_419_r0,0
388,51385,1,51385,191,chunk_350_419_r0,0
389,51386,1,51386,191,chunk_350_419_r0,0
390,51387,0,-1,191,chunk_350_419_r0,0
