# ref -10dB BW = 19.39 MHz, -20dB = 22.16
path,bw20,env,bw10,reclass
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/fix_M32_v1/pair.iq,38.14,0.4395,36.49,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/hunt_auto_20260731_210341/pair.iq,38.25,0.4209,36.49,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/hunt_auto_20260731_211829/pair.iq,38.21,0.5151,36.46,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/hunt_auto_20260801_220503/pair.iq,38.25,0.4536,36.75,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/hunt_caloff_20260731_211423/pair.iq,36.49,0.4122,0.00,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/mab_20260809_195519_M32_r1/pair.iq,39.98,0.5070,19.21,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/pumptime/pair.iq,39.94,0.5134,19.26,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/resid_M16/pair.iq,38.19,0.4342,36.66,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/resid_M64/pair.iq,37.97,0.4968,36.52,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/residual_20260730_201022/pair.iq,37.80,0.4320,19.44,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_004656/pair.iq,37.53,0.4712,19.09,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_005145/pair.iq,37.77,0.3967,18.31,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_005729/pair.iq,38.19,0.3951,36.42,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_010146/pair.iq,37.90,0.4688,18.36,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_015748/pair.iq,41.50,0.4808,18.54,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_020201/pair.iq,41.15,0.4168,30.74,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_020515/pair.iq,32.11,0.5929,29.22,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_021707/pair.iq,40.96,0.4605,30.39,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_022316/pair.iq,41.50,0.6965,31.57,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_022900/pair.iq,41.50,0.7001,31.15,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_034045/pair.iq,41.50,0.4178,18.85,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_070953/pair.iq,41.56,0.6099,31.72,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_071312/pair.iq,41.50,0.5347,31.47,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_071912/pair.iq,41.50,0.5114,31.02,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_072309/pair.iq,41.38,0.4224,30.84,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_072355/pair.iq,41.51,0.5142,18.97,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_073044/pair.iq,41.56,0.4731,31.60,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_073715/pair.iq,41.51,0.4353,31.57,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_074433/pair.iq,41.20,0.6068,30.67,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_074738/pair.iq,41.50,0.4154,31.91,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_081131/pair.iq,41.51,0.5151,19.02,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_081213/pair.iq,40.66,0.6118,30.06,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_081709/pair.iq,41.63,0.4624,19.63,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_082928/pair.iq,38.01,0.4151,36.05,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_083639/pair.iq,40.60,0.5808,29.03,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_083955/pair.iq,38.25,0.4207,36.51,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_090344/pair.iq,40.96,0.6581,29.76,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_090749/pair.iq,41.69,0.5117,19.75,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_091337/pair.iq,40.96,0.5993,30.12,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_091642/pair.iq,41.51,0.5773,31.81,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_092005/pair.iq,41.63,0.5397,31.76,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_093725/pair.iq,41.50,0.5379,19.63,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/restore_094657/pair.iq,40.96,0.5918,30.12,DEGENERATE
